symbol,date,open,high,low,close,volume,adjusted
NVDA,01-02-2018,5.962999821,6.172500134,5.951499939,6.012499809,519224000.00,5.948430538
NVDA,02-02-2018,5.925000191,5.949250221,5.779250145,5.837999821,718464000.00,5.775790691
NVDA,05-02-2018,5.675000191,5.830749989,5.125,5.34250021,1165204000.00,5.285570145
NVDA,06-02-2018,5.110000134,5.642499924,5.099999905,5.639500141,1114800000.00,5.579404354
NVDA,07-02-2018,5.739500046,5.874249935,5.667500019,5.71999979,802932000.00,5.65904665
NVDA,08-02-2018,5.847000122,5.88049984,5.437749863,5.438000202,1144000000.00,5.38005209
NVDA,09-02-2018,5.956250191,5.972249985,5.438000202,5.802000046,1674604000.00,5.740172386
NVDA,12-02-2018,5.883999825,5.887000084,5.625750065,5.700749874,1093172000.00,5.640002251
NVDA,13-02-2018,5.664000034,5.862500191,5.631249905,5.815750122,625524000.00,5.753778934
NVDA,14-02-2018,5.775000095,6.064750195,5.763750076,6.03550005,744988000.00,5.971185207
NVDA,15-02-2018,6.119750023,6.209249973,6.038000107,6.162499905,698900000.00,6.096830845
NVDA,16-02-2018,6.135000229,6.25,6.086750031,6.096000195,637656000.00,6.031039238
NVDA,20-02-2018,6.118750095,6.296750069,6.114999771,6.227000237,686240000.00,6.160644531
NVDA,21-02-2018,6.292250156,6.299250126,6.03399992,6.037749767,892292000.00,5.97341013
NVDA,22-02-2018,6.068250179,6.140749931,5.987500191,6.053750038,534364000.00,5.99296236
NVDA,23-02-2018,6.114250183,6.148250103,6.063000202,6.148250103,415300000.00,6.086513042
NVDA,26-02-2018,6.195000172,6.199500084,6.101500034,6.164500237,469312000.00,6.102602005
NVDA,27-02-2018,6.137499809,6.222750187,6.128250122,6.151500225,455436000.00,6.08973074
NVDA,28-02-2018,6.162499905,6.202499866,6.038249969,6.050000191,523116000.00,5.989251137
NVDA,01-03-2018,6.047749996,6.102250099,5.703000069,5.805250168,1040120000.00,5.746957302
NVDA,02-03-2018,5.696499825,5.920000076,5.546249866,5.913499832,913428000.00,5.854119301
